,Prophet,SARIMA,XGBoost,LSTM,Ensemble,Lo68,Hi68,Lo90,Hi90
2025-09,3862.0,3913.0,4084.0,3824.0,3950.0,3851.0,4050.0,3787.0,4114.0
2025-10,3658.0,3526.0,3971.0,3825.0,3857.0,3689.0,4025.0,3581.0,4133.0
2025-11,3524.0,3941.0,3955.0,3829.0,3862.0,3688.0,4035.0,3576.0,4147.0
2025-12,3529.0,4180.0,3916.0,3831.0,3859.0,3627.0,4092.0,3477.0,4242.0
2026-01,3530.0,4231.0,3967.0,3832.0,3886.0,3633.0,4139.0,3470.0,4302.0
2026-02,3236.0,4724.0,3983.0,3834.0,3893.0,3363.0,4423.0,3022.0,4764.0
2026-03,3498.0,4816.0,3990.0,3830.0,3926.0,3441.0,4411.0,3128.0,4724.0
2026-04,3540.0,3735.0,4003.0,3827.0,3872.0,3705.0,4040.0,3598.0,4147.0
2026-05,3599.0,2935.0,4024.0,3824.0,3841.0,3430.0,4251.0,3166.0,4515.0
2026-06,3333.0,3231.0,4012.0,3825.0,3826.0,3499.0,4153.0,3288.0,4364.0
2026-07,3431.0,3194.0,4011.0,3823.0,3833.0,3512.0,4153.0,3305.0,4360.0
2026-08,3445.0,3598.0,4011.0,3822.0,3857.0,3641.0,4072.0,3502.0,4211.0
